Population Locus A B
Pop1 locus_933 133   7 
Pop1 locus_934  12 146 
Pop1 locus_935 136  16 
Pop1 locus_936  40  98 
Pop1 locus_937  42 104 
Pop1 locus_938   8 138 
Pop1 locus_939  36 106 
Pop1 locus_940 140  10 
Pop1 locus_941  50  98 
Pop1 locus_942  96  48 
Pop1 locus_943   7 133 
Pop1 locus_944 130  14 
Pop1 locus_945  94  40 
Pop1 locus_946  27 117 
Pop1 locus_947  14 130 
Pop1 locus_948  41  95 
Pop1 locus_949 124  14 
Pop1 locus_950  84  60 
Pop1 locus_951  41  97 
Pop1 locus_952  84  60 
Pop1 locus_953  38  92 
Pop1 locus_954  82  66 
Pop1 locus_955  23 115 
Pop1 locus_956 122  24 
Pop1 locus_957  33 125 
Pop1 locus_958 111  41 
Pop1 locus_959 135   9 
Pop1 locus_960   8 134 
Pop1 locus_961  15 119 
Pop1 locus_962  12 128 
Pop1 locus_963 111  21 
Pop1 locus_964  21 111 
Pop1 locus_965  65  91 
Pop1 locus_966  49 115 
Pop1 locus_967  70  60 
Pop1 locus_968  14 126 
Pop1 locus_969  45  83 
Pop1 locus_970  33  97 
Pop1 locus_971 131   7 
Pop1 locus_972 131   7 
Pop1 locus_973  16 144 
Pop1 locus_974  64  88 
Pop1 locus_975 130  18 
Pop1 locus_976 121  35 
Pop1 locus_977  50 108 
Pop1 locus_978  66  90 
Pop1 locus_979 108  50 
Pop1 locus_980  23 135 
Pop1 locus_981 153  11 
Pop1 locus_982 138  16 
Pop1 locus_983 138  16 
Pop1 locus_984 149   9 
Pop1 locus_985  11 151 
Pop1 locus_986 143   9 
Pop1 locus_987 129  23 
Pop1 locus_988  52  94 
Pop1 locus_989  52  94 
Pop1 locus_990  51  93 
Pop1 locus_991 143  11 
Pop1 locus_992   9 139 
Pop1 locus_993 137  25 
Pop1 locus_994  19 143 
Pop1 locus_995 117  33 
Pop1 locus_996 100  34 
Pop1 locus_997 127  11 
Pop1 locus_998 152  10 
Pop1 locus_999  64  62 
Pop1 locus_1000  12 118 
Pop1 locus_1001 125  13 
Pop1 locus_1002  10 144 
Pop1 locus_1003  50  90 
Pop1 locus_1004 143  11 
Pop1 locus_1005  90  48 
Pop1 locus_1006 153  11 
Pop1 locus_1007  47 111 
Pop1 locus_1008 117  45 
Pop1 locus_1009 150  16 
Pop1 locus_1010  15 129 
Pop1 locus_1011 148  14 
Pop1 locus_1012 119  31 
Pop1 locus_1013  20 132 
Pop1 locus_1014  23 135 
Pop1 locus_1015 140  12 
Pop1 locus_1016 140  12 
Pop1 locus_1017  49  97 
Pop1 locus_1018  49  91 
Pop1 locus_1019  92  50 
Pop1 locus_1020   9 141 
Pop1 locus_1021 146  16 
Pop1 locus_1022 146  16 
Pop1 locus_1023  13 137 
Pop1 locus_1024 132  20 
Pop1 locus_1025  90  74 
Pop1 locus_1026  75  73 
Pop1 locus_1027  14 134 
Pop1 locus_1028 126  22 
Pop1 locus_1029  56  78 
Pop1 locus_1030  56  78 
Pop1 locus_1031  33 131 
Pop1 locus_1032 120   8 
Pop1 locus_1033  13 117 
Pop1 locus_1034 134  12 
Pop1 locus_1035  55  77 
Pop1 locus_1036   8 134 
Pop1 locus_1037 106  36 
Pop1 locus_1038  91  49 
Pop1 locus_1039 128  12 
Pop1 locus_1040 121  13 
Pop1 locus_1041 128  12 
Pop1 locus_1042  17 145 
Pop1 locus_1043   8 144 
Pop1 locus_1044 144   8 
Pop1 locus_1045  13 145 
Pop1 locus_1046   9 149 
Pop1 locus_1047 124  24 
Pop1 locus_1048  16 116 
Pop1 locus_1049  72  68 
Pop1 locus_1050  17 125 
Pop1 locus_1051 103  31 
Pop1 locus_1052  13 123 
Pop1 locus_1053 107  27 
Pop1 locus_1054  44  82 
Pop1 locus_1055 101  43 
Pop1 locus_1056 131  23 
Pop1 locus_1057  55  99 
Pop1 locus_1058 130  26 
Pop1 locus_1059 124  30 
Pop1 locus_1060 132   8 
Pop1 locus_1061 124  12 
Pop1 locus_1062 131   9 
Pop1 locus_1063  11 153 
Pop1 locus_1064  37 125 
Pop1 locus_1065 124  20 
Pop1 locus_1066 154  10 
Pop1 locus_1067 136  28 
Pop1 locus_1068  37 119 
Pop1 locus_1069  98  56 
Pop1 locus_1070  10 152 
Pop1 locus_1071 151   9 
Pop1 locus_1072 136  16 
Pop1 locus_1073   9 149 
Pop1 locus_1074 151   9 
Pop1 locus_1075 113  41 
Pop1 locus_1076  12 150 
Pop1 locus_1077  52 102 
Pop1 locus_1078  35 119 
Pop1 locus_1079 119  35 
Pop1 locus_1080  10 124 
Pop1 locus_1081  10 124 
Pop1 locus_1082  22 132 
Pop1 locus_1083  17 123 
Pop1 locus_1084 125  13 
Pop1 locus_1085  86  48 
Pop1 locus_1086  13 119 
Pop1 locus_1087  14 122 
Pop1 locus_1088  10 120 
Pop1 locus_1089   8 134 
Pop1 locus_1090 126  12 
Pop1 locus_1091  11 135 
Pop1 locus_1092 101  57 
Pop1 locus_1093 132  24 
Pop1 locus_1094  65  87 
Pop1 locus_1095  35 117 
Pop1 locus_1096   8 144 
Pop1 locus_1097  27 125 
Pop1 locus_1098 138  14 
Pop1 locus_1099  16 140 
Pop1 locus_1100 119  25 
Pop1 locus_1101 119  25 
Pop1 locus_1102  37 103 
Pop1 locus_1103 142  12 
Pop1 locus_1104 118  12 
Pop1 locus_1105 136  16 
Pop1 locus_1106 121  31 
Pop1 locus_1107 155  11 
Pop1 locus_1108  28 122 
Pop1 locus_1109 133   7 
Pop1 locus_1110   8 132 
Pop1 locus_1111  11 123 
Pop1 locus_1112 105  61 
Pop1 locus_1113  80  50 
Pop1 locus_1114  84  48 
Pop1 locus_1115  93  35 
Pop1 locus_1116 146   8 
Pop1 locus_1117 153  13 
Pop1 locus_1118  37 109 
Pop1 locus_1119  23 113 
Pop1 locus_1120 130   8 
Pop1 locus_1121 115  13 
Pop1 locus_1122 143  11 
Pop1 locus_1123  25 123 
Pop1 locus_1124   9 155 
Pop1 locus_1125 157   9 
Pop1 locus_1126 126  20 
Pop1 locus_1127  27 123 
Pop1 locus_1128 134   8 
Pop1 locus_1129 131  17 
Pop1 locus_1130 131  17 
Pop1 locus_1131  17 131 
Pop1 locus_1132 132  10 
Pop1 locus_1133   8 126 
Pop1 locus_1134 123  29 
Pop1 locus_1135 132  20 
Pop1 locus_1136  98  38 
Pop1 locus_1137  50  84 
Pop1 locus_1138 127  29 
Pop1 locus_1139 149  11 
Pop1 locus_1140  12 148 
Pop1 locus_1141  12 118 
Pop1 locus_1142  10 120 
Pop1 locus_1143   8 120 
Pop1 locus_1144  14 142 
Pop1 locus_1145  18 116 
Pop1 locus_1146 127  13 
Pop1 locus_1147 136   8 
Pop1 locus_1148  15 121 
Pop1 locus_1149 111  51 
Pop1 locus_1150 150  12 
Pop1 locus_1151  12 150 
Pop1 locus_1152  12 150 
Pop1 locus_1153 150  12 
Pop1 locus_1154  19 111 
Pop1 locus_1155  49 113 
Pop1 locus_1156  97  35 
Pop1 locus_1157  94  38 
Pop1 locus_1158  89  59 
Pop1 locus_1159  11 147 
Pop1 locus_1160  30 118 
Pop1 locus_1161 155   9 
Pop1 locus_1162  82  72 
Pop1 locus_1163 143  19 
Pop1 locus_1164 141   9 
Pop1 locus_1165  14 130 
Pop1 locus_1166  14 130 
Pop1 locus_1167  18 130 
Pop1 locus_1168 122  24 
Pop1 locus_1169 112  20 
Pop1 locus_1170 145  11 
Pop1 locus_1171 145  11 
Pop1 locus_1172  29 125 
Pop1 locus_1173 140  24 
Pop1 locus_1174  62  90 
Pop1 locus_1175  14 150 
Pop1 locus_1176 124  22 
Pop1 locus_1177 117  25 
Pop1 locus_1178 124  22 
Pop1 locus_1179  16 126 
Pop1 locus_1180 128  16 
Pop1 locus_1181  69  77 
Pop1 locus_1182  20 106 
Pop1 locus_1183  95  41 
Pop1 locus_1184  88  68 
Pop1 locus_1185 130  20 
Pop1 locus_1186 112  16 
Pop1 locus_1187  10 130 
Pop1 locus_1188 130  10 
Pop1 locus_1189  16 124 
Pop1 locus_1190 124  16 
Pop1 locus_1191  68  72 
Pop1 locus_1192   8 142 
Pop1 locus_1193 131   7 
Pop1 locus_1194 114  50 
Pop1 locus_1195  37 127 
Pop1 locus_1196 122  16 
Pop1 locus_1197  16 122 
Pop1 locus_1198 131  15 
Pop1 locus_1199  48  98 
Pop1 locus_1200 126  24 
Pop1 locus_1201 135  29 
Pop1 locus_1202 125  31 
Pop1 locus_1203  31 129 
Pop1 locus_1204  14 112 
Pop1 locus_1205 141  19 
Pop1 locus_1206  14 138 
Pop1 locus_1207   8 134 
Pop1 locus_1208   8 134 
Pop1 locus_1209   8 134 
Pop1 locus_1210  26 128 
Pop1 locus_1211  22 128 
Pop1 locus_1212  11 147 
Pop1 locus_1213  37  97 
Pop1 locus_1214 110  28 
Pop1 locus_1215 115  25 
Pop1 locus_1216 133  15 
Pop1 locus_1217 106  42 
Pop1 locus_1218 106  42 
Pop1 locus_1219  47  97 
Pop1 locus_1220  47  97 
Pop1 locus_1221 128  22 
Pop1 locus_1222  25 125 
Pop1 locus_1223 120  30 
Pop1 locus_1224 129  29 
Pop1 locus_1225  43 103 
Pop1 locus_1226 110  40 
Pop1 locus_1227 140   8 
Pop1 locus_1228  57  77 
Pop1 locus_1229 142   8 
Pop1 locus_1230  66  92 
Pop1 locus_1231  24 134 
Pop1 locus_1232  52  94 
Pop1 locus_1233  63  81 
Pop1 locus_1234  33  93 
Pop1 locus_1235 121  15 
Pop1 locus_1236 132  18 
Pop1 locus_1237 140  24 
Pop1 locus_1238  13 137 
Pop1 locus_1239   8 140 
Pop1 locus_1240  98  38 
Pop1 locus_1241 110  40 
Pop1 locus_1242 108  22 
Pop1 locus_1243 117  15 
Pop1 locus_1244  11 137 
Pop1 locus_1245 148  12 
Pop1 locus_1246 118  18 
Pop1 locus_1247  57  97 
Pop1 locus_1248 110  54 
Pop1 locus_1249  11 147 
Pop1 locus_1250 129  17 
Pop1 locus_1251 135  13 
Pop1 locus_1252 116  32 
Pop1 locus_1253 129  33 
Pop1 locus_1254 150  10 
Pop1 locus_1255  15 145 
Pop1 locus_1256 123  13 
Pop1 locus_1257   9 149 
Pop1 locus_1258 112  48 
Pop1 locus_1259  19 145 
Pop1 locus_1260 135  21 
Pop1 locus_1261  13 143 
Pop1 locus_1262 145   9 
Pop1 locus_1263  32 114 
Pop1 locus_1264  13 141 
Pop1 locus_1265   9 145 
Pop1 locus_1266   8 140 
Pop1 locus_1267  28 136 
Pop1 locus_1268 137  27 
Pop1 locus_1269 132  26 
Pop1 locus_1270 125  33 
Pop1 locus_1271  19 137 
Pop1 locus_1272  24 140 
Pop1 locus_1273  73  61 
Pop1 locus_1274  61  73 
Pop1 locus_1275  25 127 
Pop1 locus_1276  35 125 
Pop1 locus_1277  43 115 
Pop1 locus_1278  35 123 
Pop1 locus_1279  35 123 
Pop1 locus_1280  77  87 
Pop1 locus_1281 134  24 
Pop1 locus_1282   8 152 
Pop1 locus_1283 110  28 
Pop1 locus_1284  14 134 
Pop1 locus_1285   7 133 
Pop1 locus_1286 126  30 
Pop1 locus_1287  30 114 
Pop1 locus_1288 109  37 
Pop1 locus_1289  50  98 
Pop1 locus_1290 131   9 
Pop1 locus_1291 130  10 
Pop1 locus_1292 120  10 
Pop1 locus_1293  67  65 
Pop1 locus_1294  11 131 
Pop1 locus_1295  14 126 
Pop1 locus_1296  14 124 
Pop1 locus_1297  14 142 
Pop1 locus_1298 132  30 
Pop1 locus_1299 132  30 
Pop1 locus_1300 115  25 
Pop1 locus_1301 135  19 
Pop1 locus_1302 119  11 
Pop1 locus_1303  25 113 
Pop1 locus_1304  22 136 
Pop1 locus_1305  22 136 
Pop1 locus_1306  12 138 
Pop1 locus_1307  70  60 
Pop1 locus_1308 136  10 
Pop1 locus_1309  10 124 
Pop1 locus_1310  59 105 
Pop1 locus_1311  34 116 
Pop1 locus_1312 112  16 
Pop1 locus_1313   7 123 
Pop1 locus_1314   8 124 
Pop1 locus_1315  72  62 
Pop1 locus_1316 120  38 
Pop1 locus_1317 122  36 
Pop1 locus_1318  97  61 
Pop1 locus_1319  48  98 
Pop1 locus_1320  98  48 
Pop1 locus_1321 147   9 
Pop1 locus_1322  21 131 
Pop1 locus_1323 100  52 
Pop1 locus_1324 101  51 
Pop1 locus_1325 138  12 
Pop1 locus_1326 139   9 
Pop1 locus_1327  31 107 
Pop1 locus_1328 123  15 
Pop1 locus_1329  95  39 
Pop1 locus_1330  84  50 
Pop1 locus_1331  19 123 
Pop1 locus_1332  95  39 
Pop1 locus_1333 132  12 
Pop1 locus_1334 130  12 
Pop1 locus_1335   9 149 
Pop1 locus_1336  79  49 
Pop1 locus_1337  18 144 
Pop1 locus_1338  20 120 
Pop1 locus_1339 102  40 
Pop1 locus_1340  18 120 
Pop1 locus_1341   9 133 
Pop1 locus_1342  20 112 
Pop1 locus_1343  57  73 
Pop1 locus_1344  14 148 
Pop1 locus_1345 125  27 
Pop1 locus_1346 119  33 
Pop1 locus_1347  13 115 
Pop1 locus_1348  79  67 
Pop1 locus_1349  74  68 
Pop1 locus_1350  14 136 
Pop1 locus_1351  20 138 
Pop1 locus_1352   7 123 
Pop1 locus_1353  19 135 
Pop1 locus_1354  15 143 
Pop1 locus_1355 146   8 
Pop1 locus_1356 145  11 
Pop1 locus_1357 125  15 
Pop1 locus_1358  10 130 
Pop1 locus_1359  26 114 
Pop1 locus_1360 141  11 
Pop1 locus_1361 127  13 
Pop1 locus_1362  13 125 
Pop1 locus_1363  10 126 
Pop1 locus_1364  19 127 
Pop1 locus_1365 140  10 
Pop1 locus_1366   8 140 
Pop1 locus_1367  23 117 
Pop1 locus_1368  12 132 
Pop1 locus_1369  19 129 
Pop1 locus_1370 117  31 
Pop1 locus_1371  38 100 
Pop1 locus_1372 129  15 
Pop1 locus_1373  14 138 
Pop1 locus_1374 116  24 
Pop1 locus_1375  24 116 
Pop1 locus_1376  24 116 
Pop1 locus_1377 116  24 
Pop1 locus_1378  10 136 
Pop1 locus_1379  57  83 
Pop1 locus_1380  77  77 
Pop1 locus_1381  42 114 
Pop1 locus_1382  77  69 
Pop1 locus_1383  73  79 
Pop1 locus_1384 116  30 
Pop1 locus_1385  85  61 
Pop1 locus_1386  93  57 
Pop1 locus_1387 111  39 
Pop1 locus_1388  12 140 
Pop1 locus_1389  22 116 
Pop1 locus_1390  12 144 
Pop1 locus_1391 138   8 
Pop1 locus_1392  28 120 
Pop1 locus_1393  97  45 
Pop1 locus_1394 121   9 
Pop1 locus_1395   7 131 
Pop1 locus_1396   8 130 
Pop1 locus_1397 146  10 
Pop1 locus_1398 140  14 
Pop1 locus_1399  90  58 
Pop1 locus_1400 132  12 
Pop1 locus_1401 140  26 
Pop1 locus_1402  34 120 
Pop1 locus_1403  14 132 
Pop1 locus_1404 102  32 
Pop1 locus_1405 148  12 
Pop1 locus_1406   9 137 
Pop1 locus_1407 135   9 
Pop1 locus_1408 128  10 
Pop1 locus_1409   9 133 
Pop1 locus_1410  16 138 
Pop1 locus_1411 138  16 
Pop1 locus_1412  56  98 
Pop1 locus_1413  23 139 
Pop1 locus_1414  98  56 
Pop1 locus_1415 130  18 
Pop1 locus_1416 130  18 
Pop1 locus_1417 122  24 
Pop1 locus_1418 144   8 
Pop1 locus_1419 141  11 
Pop1 locus_1420  20 144 
Pop1 locus_1421  20 144 
Pop1 locus_1422  19 133 
Pop1 locus_1423  11 153 
Pop1 locus_1424  19 145 
Pop1 locus_1425 154  10 
Pop1 locus_1426  17 123 
Pop1 locus_1427   7 129 
Pop1 locus_1428  80  62 
Pop1 locus_1429   8 150 
Pop1 locus_1430 122  24 
Pop1 locus_1431  32 114 
Pop1 locus_1432  99  45 
Pop1 locus_1433  66  64 
Pop1 locus_1434 123  29 
Pop1 locus_1435 119  43 
Pop1 locus_1436  17 125 
Pop1 locus_1437 135  25 
Pop1 locus_1438  14 152 
Pop1 locus_1439  40  94 
Pop1 locus_1440  13 153 
Pop1 locus_1441 112  52 
Pop1 locus_1442 112  52 
Pop1 locus_1443 141  13 
Pop1 locus_1444  10 152 
Pop1 locus_1445 132  28 
Pop1 locus_1446 144  10 
Pop1 locus_1447  38 112 
Pop1 locus_1448 119  31 
Pop1 locus_1449 148   8 
Pop1 locus_1450 133  21 
Pop1 locus_1451  21 133 
Pop1 locus_1452 130  22 
Pop1 locus_1453  51  99 
Pop1 locus_1454 125  37 
Pop1 locus_1455  90  72 
Pop1 locus_1456  22 126 
Pop1 locus_1457 122  26 
Pop1 locus_1458  62  76 
Pop1 locus_1459  53 103 
Pop1 locus_1460  57  89 
Pop1 locus_1461  38  92 
Pop1 locus_1462  11 123 
Pop1 locus_1463 145   9 
Pop1 locus_1464  86  66 
Pop1 locus_1465  21 139 
Pop1 locus_1466  66  86 
Pop1 locus_1467  74  76 
Pop1 locus_1468   9 119 
Pop1 locus_1469  14 152 
Pop1 locus_1470  82  80 
Pop1 locus_1471  23 143 
Pop1 locus_1472  16 148 
Pop1 locus_1473 107  41 
Pop1 locus_1474 111  17 
Pop1 locus_1475  17 111 
Pop1 locus_1476  10 128 
Pop1 locus_1477  20 120 
Pop1 locus_1478 119  39 
Pop1 locus_1479 103  37 
Pop1 locus_1480 145  13 
Pop1 locus_1481 149   9 
Pop1 locus_1482 150  10 
Pop1 locus_1483   9 135 
Pop1 locus_1484  21 137 
Pop1 locus_1485 130  10 
Pop1 locus_1486  13 121 
Pop1 locus_1487 134  28 
Pop1 locus_1488 133  21 
Pop1 locus_1489 132  22 
Pop1 locus_1490 140  12 
Pop1 locus_1491 130  20 
Pop1 locus_1492 124  24 
Pop1 locus_1493  94  44 
Pop1 locus_1494  11 147 
Pop1 locus_1495  10 148 
Pop1 locus_1496 133   9 
Pop1 locus_1497  12 126 
Pop1 locus_1498  11 127 
Pop1 locus_1499 136   8 
Pop1 locus_1500 118  24 
Pop1 locus_1501  26 128 
Pop1 locus_1502 146  12 
Pop1 locus_1503 124  22 
Pop1 locus_1504  10 148 
Pop1 locus_1505  11 125 
Pop1 locus_1506  48 106 
Pop1 locus_1507 137  13 
Pop1 locus_1508 137  13 
Pop1 locus_1509 145  17 
Pop1 locus_1510  68  86 
Pop1 locus_1511  74  78 
Pop1 locus_1512  89  63 
Pop1 locus_1513 129   9 
Pop1 locus_1514 123  23 
Pop1 locus_1515  10 132 
Pop1 locus_1516  32 102 
Pop1 locus_1517  88  44 
Pop1 locus_1518 141  21 
Pop1 locus_1519 134  12 
Pop1 locus_1520  10 124 
Pop1 locus_1521   7 127 
Pop1 locus_1522  69  67 
Pop1 locus_1523 109  31 
Pop1 locus_1524  24 114 
Pop1 locus_1525  44  90 
Pop1 locus_1526  10 128 
Pop1 locus_1527  16 130 
Pop1 locus_1528  17 127 
Pop1 locus_1529  94  52 
Pop1 locus_1530  32 108 
Pop1 locus_1531  20 144 
Pop1 locus_1532 155   9 
Pop1 locus_1533 155   9 
Pop1 locus_1534 114  34 
Pop1 locus_1535  23 121 
Pop1 locus_1536 123  23 
Pop1 locus_1537 112  40 
Pop1 locus_1538  30 116 
Pop1 locus_1539 121  27 
Pop1 locus_1540  26 138 
Pop1 locus_1541 120  10 
Pop1 locus_1542  10 126 
Pop1 locus_1543  43 109 
Pop1 locus_1544  21 133 
Pop1 locus_1545  16 142 
Pop1 locus_1546  12 150 
Pop1 locus_1547  55  93 
Pop1 locus_1548  30 120 
Pop1 locus_1549 101  47 
Pop1 locus_1550   9 125 
Pop1 locus_1551  35  93 
Pop1 locus_1552  20 112 
Pop1 locus_1553   8 152 
Pop1 locus_1554  29 115 
Pop1 locus_1555  97  45 
Pop1 locus_1556  34 120 
Pop1 locus_1557  38 110 
Pop1 locus_1558 125  15 
Pop1 locus_1559  27 115 
Pop1 locus_1560 120  20 
Pop1 locus_1561  44  98 
Pop1 locus_1562 123  27 
Pop1 locus_1563 121  17 
Pop1 locus_1564  15 141 
Pop1 locus_1565 147  11 
Pop1 locus_1566 116  18 
Pop1 locus_1567  37 119 
Pop1 locus_1568  26 132 
Pop1 locus_1569  26 132 
Pop1 locus_1570 104  52 
Pop1 locus_1571 148  10 
Pop1 locus_1572  31 117 
Pop1 locus_1573  12 136 
Pop1 locus_1574 118  22 
Pop1 locus_1575  19 127 
Pop1 locus_1576  51  81 
Pop1 locus_1577   8 138 
Pop1 locus_1578  19 123 
Pop1 locus_1579 144   8 
Pop1 locus_1580  17 135 
Pop1 locus_1581 119  13 
Pop1 locus_1582 116  20 
Pop1 locus_1583  28 130 
Pop1 locus_1584  65  89 
Pop1 locus_1585 128  16 
Pop1 locus_1586 111  31 
Pop1 locus_1587   8 122 
Pop1 locus_1588  17 149 
Pop1 locus_1589  11 153 
Pop1 locus_1590  44 118 
Pop1 locus_1591   9 133 
Pop1 locus_1592 136   8 
Pop1 locus_1593 134   8 
Pop1 locus_1594   8 136 
Pop1 locus_1595  16 126 
Pop1 locus_1596  13 127 
Pop1 locus_1597 131   9 
Pop1 locus_1598  10 124 
Pop1 locus_1599  22 116 
Pop1 locus_1600 125  37 
Pop1 locus_1601  12 132 
Pop1 locus_1602 140  12 
Pop1 locus_1603  19 131 
Pop1 locus_1604   9 137 
Pop1 locus_1605  15 143 
Pop1 locus_1606  11 129 
Pop1 locus_1607  16 122 
Pop1 locus_1608 123  17 
Pop1 locus_1609 111  47 
Pop1 locus_1610 146   8 
Pop1 locus_1611 103  31 
Pop1 locus_1612 116  30 
Pop1 locus_1613  11 147 
Pop1 locus_1614 138  16 
Pop1 locus_1615 131  23 
Pop1 locus_1616   9 123 
Pop1 locus_1617 113  15 
Pop1 locus_1618 113  15 
Pop1 locus_1619 136   8 
Pop1 locus_1620  12 136 
Pop1 locus_1621  12 136 
Pop1 locus_1622  81  73 
Pop1 locus_1623  55  91 
Pop1 locus_1624  64  94 
Pop1 locus_1625 144   8 
Pop1 locus_1626  66  74 
Pop1 locus_1627  81  73 
Pop1 locus_1628 148  14 
Pop1 locus_1629 124  34 
Pop1 locus_1630 126   8 
Pop1 locus_1631 106  38 
Pop1 locus_1632 136  18 
Pop1 locus_1633  13 141 
Pop1 locus_1634 120  24 
Pop1 locus_1635  98  66 
Pop1 locus_1636   8 150 
Pop1 locus_1637  28 112 
Pop1 locus_1638 144  12 
Pop1 locus_1639  25 131 
Pop1 locus_1640  14 140 
Pop1 locus_1641  62 104 
Pop1 locus_1642 136  10 
Pop1 locus_1643 142  22 
Pop1 locus_1644 120  44 
Pop1 locus_1645 120  26 
Pop1 locus_1646  11 125 
Pop1 locus_1647   9 151 
Pop1 locus_1648  84  76 
Pop1 locus_1649 103  53 
Pop1 locus_1650  72  90 
Pop1 locus_1651  18 126 
Pop1 locus_1652  52 106 
Pop1 locus_1653  86  70 
Pop1 locus_1654  69  85 
Pop1 locus_1655  19 135 
Pop1 locus_1656  69  85 
Pop1 locus_1657 129  19 
Pop1 locus_1658  19 129 
Pop1 locus_1659   9 137 
Pop1 locus_1660  43  87 
Pop1 locus_1661 144   8 
Pop1 locus_1662 143  15 
Pop1 locus_1663 135  15 
Pop1 locus_1664  12 128 
Pop1 locus_1665  40  94 
Pop1 locus_1666   7 129 
Pop1 locus_1667 150  10 
Pop1 locus_1668 112  38 
Pop1 locus_1669  19 125 
Pop1 locus_1670   9 131 
Pop1 locus_1671  15 141 
Pop1 locus_1672  29 135 
Pop1 locus_1673 142  12 
Pop1 locus_1674 104  38 
Pop1 locus_1675   9 143 
Pop1 locus_1676 140  10 
Pop1 locus_1677  29 125 
Pop1 locus_1678 145   9 
Pop1 locus_1679   8 146 
Pop1 locus_1680 124   8 
Pop1 locus_1681  19 145 
Pop1 locus_1682  30 114 
Pop1 locus_1683  42 114 
Pop1 locus_1684  39 121 
Pop1 locus_1685 151  15 
Pop1 locus_1686 121  39 
Pop1 locus_1687 112  14 
Pop1 locus_1688  25 121 
Pop1 locus_1689   8 138 
Pop1 locus_1690  14 150 
Pop1 locus_1691 135  25 
Pop1 locus_1692  24 116 
Pop1 locus_1693   9 131 
Pop1 locus_1694  18 120 
Pop1 locus_1695 123  13 
Pop1 locus_1696 148  18 
Pop1 locus_1697 155  11 
Pop1 locus_1698  27 129 
Pop1 locus_1699 149   9 
Pop1 locus_1700 149  11 
Pop1 locus_1701 124  32 
Pop1 locus_1702  14 146 
Pop1 locus_1703   9 127 
Pop1 locus_1704 129   7 
Pop1 locus_1705  84  56 
Pop1 locus_1706  85  59 
Pop1 locus_1707  61  97 
Pop1 locus_1708  53 101 
Pop1 locus_1709   8 152 
Pop1 locus_1710  17 145 
Pop1 locus_1711  18 140 
Pop1 locus_1712 121  19 
Pop1 locus_1713 124   8 
Pop1 locus_1714 134  10 
Pop1 locus_1715 133   7 
Pop1 locus_1716  19 119 
Pop1 locus_1717  16 142 
Pop1 locus_1718 142  14 
Pop1 locus_1719  13 147 
Pop1 locus_1720  10 132 
Pop1 locus_1721  11 129 
Pop1 locus_1722  21 123 
Pop1 locus_1723  17 123 
Pop1 locus_1724 131   9 
Pop1 locus_1725 128  12 
Pop1 locus_1726  88  40 
Pop1 locus_1727  25 103 
Pop1 locus_1728 134   8 
Pop1 locus_1729   8 134 
Pop1 locus_1730   8 118 
Pop1 locus_1731 116  10 
Pop1 locus_1732 116  10 
Pop1 locus_1733  33 119 
Pop1 locus_1734  11 123 
Pop1 locus_1735 121  13 
Pop1 locus_1736 120  14 
Pop1 locus_1737  12 122 
Pop1 locus_1738 133   7 
Pop1 locus_1739 119  15 
Pop1 locus_1740 128   8 
Pop1 locus_1741 128   8 
Pop1 locus_1742   9 155 
Pop1 locus_1743  11 153 
Pop1 locus_1744  43  83 
Pop1 locus_1745 123   7 
Pop1 locus_1746 138  10 
Pop1 locus_1747   7 127 
Pop1 locus_1748 134  14 
Pop1 locus_1749 114  46 
Pop1 locus_1750   9 131 
Pop1 locus_1751   7 131 
Pop1 locus_1752 117  29 
Pop1 locus_1753  52  82 
Pop1 locus_1754  13 143 
Pop1 locus_1755  70  94 
Pop1 locus_1756  17 149 
Pop1 locus_1757 149  17 
Pop1 locus_1758 139  17 
Pop1 locus_1759 121  29 
Pop1 locus_1760 128  24 
Pop1 locus_1761 146  16 
Pop1 locus_1762  17 145 
Pop1 locus_1763 130  36 
Pop1 locus_1764  93  53 
Pop1 locus_1765  10 146 
Pop1 locus_1766 146  10 
Pop1 locus_1767 149   9 
Pop1 locus_1768  10 144 
Pop1 locus_1769 138  14 
Pop1 locus_1770  98  38 
Pop1 locus_1771  21 135 
Pop1 locus_1772  77  73 
Pop1 locus_1773  47 107 
Pop1 locus_1774  98  36 
Pop1 locus_1775 138  14 
Pop1 locus_1776  19 135 
Pop1 locus_1777 135  19 
Pop1 locus_1778 132  22 
Pop1 locus_1779  44 106 
Pop1 locus_1780 152   8 
Pop1 locus_1781 131  21 
Pop1 locus_1782  10 142 
Pop1 locus_1783  45 105 
Pop1 locus_1784 143  11 
Pop1 locus_1785  32 124 
Pop1 locus_1786 102  32 
Pop1 locus_1787  15 137 
Pop1 locus_1788  60  82 
Pop1 locus_1789  54  92 
Pop1 locus_1790   9 125 
Pop1 locus_1791 126  28 
Pop1 locus_1792  95  49 
Pop1 locus_1793 135   9 
Pop1 locus_1794  11 149 
Pop1 locus_1795 136  18 
Pop1 locus_1796 136  16 
Pop1 locus_1797  22 142 
Pop1 locus_1798  49 115 
Pop1 locus_1799  20 114 
Pop1 locus_1800  47 101 
Pop1 locus_1801 125  31 
Pop1 locus_1802 121  23 
Pop1 locus_1803 118  14 
Pop1 locus_1804  17 139 
Pop1 locus_1805  93  65 
Pop1 locus_1806 124  16 
Pop1 locus_1807  16 124 
Pop1 locus_1808  23 115 
Pop1 locus_1809 119  11 
Pop1 locus_1810  10 130 
